season,tim,grup,role,role_asli,pemain,link,negara,catatan
14,Rebellion Esports,Main,Jungle,Jungler,Aether,/mobilelegends/Aether,Indonesia,
14,Rebellion Esports,Main,Mid,Middle,SwayLow,/mobilelegends/SwayLow,Indonesia,
14,Rebellion Esports,Main,Gold,Gold Lane,Matt,/mobilelegends/Matt,Indonesia,
14,Rebellion Esports,Main,Roam,Roamer,X Win,/mobilelegends/X_Win,Indonesia,
14,Rebellion Esports,Subs,Jungle,Jungler,Ryyo,/mobilelegends/Ryyo,Indonesia,
14,Rebellion Esports,Subs,Roam,Roamer,Audycs,/mobilelegends/AudyTzy,Indonesia,
14,Rebellion Esports,Staff,,,Farr,/mobilelegends/Raiden,Indonesia,Coach
14,Rebellion Esports,Staff,,,Vivy,/mobilelegends/Vivy,Indonesia,Analyst
14,RRQ Hoshi,Main,EXP,EXP Lane,Dyrennn,/mobilelegends/Dyrennn,Indonesia,
14,RRQ Hoshi,Main,Jungle,Jungler,Sutsujin,/mobilelegends/Sutsujin,Indonesia,
14,RRQ Hoshi,Main,Mid,Middle,Rinz,/mobilelegends/Rinz,Indonesia,
14,RRQ Hoshi,Main,Gold,Gold Lane,Skylar,/mobilelegends/Skylar,Indonesia,
14,RRQ Hoshi,Main,Roam,Roamer,Idok,/mobilelegends/Idok,Indonesia,
14,RRQ Hoshi,Subs,Jungle,Jungler,Hazle,/mobilelegends/Hazle,Indonesia,
14,RRQ Hoshi,Staff,,,Khezcute,/mobilelegends/Khezcute,Indonesia,Head Coach
14,RRQ Hoshi,Staff,,,NMM,/mobilelegends/NMM,Indonesia,Analyst
14,Team Liquid ID,Main,EXP,EXP Lane,Aran,/mobilelegends/Aran,Indonesia,
14,Team Liquid ID,Main,Jungle,Jungler,Faviannn,/mobilelegends/Faviannn,Indonesia,
14,Team Liquid ID,Main,Mid,Middle,Yehezkiel,/mobilelegends/Yehezkiel,Indonesia,
14,Team Liquid ID,Main,Gold,Gold Lane,AeronnShikii,/mobilelegends/AeronnShikii,Indonesia,
14,Team Liquid ID,Main,Roam,Roamer,Widy,/mobilelegends/Widy,Indonesia,
14,Team Liquid ID,Subs,EXP,EXP Lane,Jeymz,/mobilelegends/Jeymz,Philippines,
14,Team Liquid ID,Subs,Gold,Gold Lane,Kabuki,/mobilelegends/Kabuki,Indonesia,
14,Team Liquid ID,Subs,Roam,Roamer,Yawi,/mobilelegends/Yawi,Philippines,
14,Team Liquid ID,Former,Jungle,Jungler,Gugun,/mobilelegends/Gugun,Indonesia,Left
