season,week,day,timestamp,tim1,kode1,skor1,skor2,kode2,tim2,status,mvp,mvp_link,mvp_kode
15,5,2,1745674200,EVOS,EVOS,1,2,BTR,Bigetron by Vitality,selesai,Moreno,/mobilelegends/Moreno,BTR
15,5,3,1745739000,Alter Ego,AE,2,1,NAVI,Natus Vincere,selesai,Rinee,/mobilelegends/Rinee,AE
15,5,3,1745749800,Geek Fam ID,GEEK,1,2,ONIC,ONIC,selesai,Kairi,/mobilelegends/Kairi,ONIC
15,5,3,1745760600,Dewa United Esports,DEWA,1,2,TLID,Team Liquid ID,selesai,Kyou,/mobilelegends/Kyou,TLID
15,6,1,1746173700,Natus Vincere,NAVI,0,2,DEWA,Dewa United Esports,selesai,Octa,/mobilelegends/Octa,DEWA
15,6,1,1746184500,Alter Ego,AE,0,2,GEEK,Geek Fam ID,selesai,Baloyskie,/mobilelegends/Baloyskie,GEEK
15,6,2,1746257400,EVOS,EVOS,0,2,AE,Alter Ego,selesai,Hijumee,/mobilelegends/Hijumee,AE
15,6,2,1746268200,Team Liquid ID,TLID,0,2,ONIC,ONIC,selesai,Sanz,/mobilelegends/S_A_N_Z,ONIC
15,6,2,1746279000,RRQ Hoshi,RRQ,2,1,BTR,Bigetron by Vitality,selesai,Idok,/mobilelegends/Idok,RRQ
15,6,3,1746343800,Natus Vincere,NAVI,0,2,TLID,Team Liquid ID,selesai,AeronnShikii,/mobilelegends/AeronnShikii,TLID
15,6,3,1746354600,ONIC,ONIC,2,1,RRQ,RRQ Hoshi,selesai,Kairi,/mobilelegends/Kairi,ONIC
15,6,3,1746365400,Geek Fam ID,GEEK,2,1,EVOS,EVOS,selesai,Maykids,/mobilelegends/Maykids,GEEK
15,7,1,1746778500,Geek Fam ID,GEEK,2,0,DEWA,Dewa United Esports,selesai,Maykids,/mobilelegends/Maykids,GEEK
15,7,1,1746789300,Bigetron by Vitality,BTR,1,2,TLID,Team Liquid ID,selesai,Widy,/mobilelegends/Widy,TLID
15,7,2,1746862200,Dewa United Esports,DEWA,0,2,AE,Alter Ego,selesai,Rinee,/mobilelegends/Rinee,AE
15,7,2,1746873000,EVOS,EVOS,0,2,RRQ,RRQ Hoshi,selesai,Idok,/mobilelegends/Idok,RRQ
