laga_id,game,kode,jenis,urutan,hero
S10R009,2,AE,ban,5,Uranus
S10R009,2,RBL,pick,1,Paquito
S10R009,2,RBL,pick,2,Balmond
S10R009,2,RBL,pick,3,Yve
S10R009,2,RBL,pick,4,Beatrix
S10R009,2,RBL,pick,5,Atlas
S10R009,2,RBL,ban,1,Fanny
S10R009,2,RBL,ban,2,Phoveus
S10R009,2,RBL,ban,3,Wanwan
S10R009,2,RBL,ban,4,Diggie
S10R009,2,RBL,ban,5,Chou
S10R009,3,AE,pick,1,Esmeralda
S10R009,3,AE,pick,2,Balmond
S10R009,3,AE,pick,3,Valentina
S10R009,3,AE,pick,4,Clint
S10R009,3,AE,pick,5,Chou
S10R009,3,AE,ban,1,Faramis
S10R009,3,AE,ban,2,Akai
S10R009,3,AE,ban,3,Franco
S10R009,3,AE,ban,4,Barats
S10R009,3,AE,ban,5,Mathilda
S10R009,3,RBL,pick,1,Paquito
S10R009,3,RBL,pick,2,Baxia
S10R009,3,RBL,pick,3,Cecilion
S10R009,3,RBL,pick,4,Beatrix
S10R009,3,RBL,pick,5,Rafaela
S10R009,3,RBL,ban,1,Fanny
S10R009,3,RBL,ban,2,Julian
S10R009,3,RBL,ban,3,Wanwan
S10R009,3,RBL,ban,4,Claude
S10R009,3,RBL,ban,5,Ling
S10R010,1,BTR,pick,1,Uranus
S10R010,1,BTR,pick,2,Karina
S10R010,1,BTR,pick,3,Valentina
S10R010,1,BTR,pick,4,Claude
S10R010,1,BTR,pick,5,Grock
S10R010,1,BTR,ban,1,Fanny
S10R010,1,BTR,ban,2,Ling
S10R010,1,BTR,ban,3,Kadita
S10R010,1,BTR,ban,4,Natalia
S10R010,1,BTR,ban,5,Balmond
S10R010,1,AURA,pick,1,Paquito
S10R010,1,AURA,pick,2,Esmeralda
S10R010,1,AURA,pick,3,Yve
S10R010,1,AURA,pick,4,Beatrix
S10R010,1,AURA,pick,5,Edith
S10R010,1,AURA,ban,1,Akai
S10R010,1,AURA,ban,2,Wanwan
S10R010,1,AURA,ban,3,Faramis
S10R010,1,AURA,ban,4,Dyrroth
S10R010,1,AURA,ban,5,Atlas
S10R010,2,BTR,pick,1,Esmeralda
S10R010,2,BTR,pick,2,Baxia
S10R010,2,BTR,pick,3,Valentina
S10R010,2,BTR,pick,4,Beatrix
S10R010,2,BTR,pick,5,Franco
S10R010,2,BTR,ban,1,Fanny
S10R010,2,BTR,ban,2,Ling
S10R010,2,BTR,ban,3,Kadita
S10R010,2,BTR,ban,4,Dyrroth
S10R010,2,BTR,ban,5,Atlas
S10R010,2,AURA,pick,1,Paquito
S10R010,2,AURA,pick,2,Natalia
S10R010,2,AURA,pick,3,Faramis
S10R010,2,AURA,pick,4,Brody
S10R010,2,AURA,pick,5,Khufra
S10R010,2,AURA,ban,1,Akai
S10R010,2,AURA,ban,2,Wanwan
S10R010,2,AURA,ban,3,Yve
S10R010,2,AURA,ban,4,Balmond
S10R010,2,AURA,ban,5,Karina
S10R010,3,BTR,pick,1,Paquito
S10R010,3,BTR,pick,2,Karina
S10R010,3,BTR,pick,3,Valentina
S10R010,3,BTR,pick,4,Claude
S10R010,3,BTR,pick,5,Grock
S10R010,3,BTR,ban,1,Fanny
S10R010,3,BTR,ban,2,Ling
S10R010,3,BTR,ban,3,Yve
S10R010,3,BTR,ban,4,Balmond
S10R010,3,BTR,ban,5,Esmeralda
S10R010,3,AURA,pick,1,Benedetta
S10R010,3,AURA,pick,2,Aamon
S10R010,3,AURA,pick,3,Faramis
S10R010,3,AURA,pick,4,Beatrix
S10R010,3,AURA,pick,5,Kadita
S10R010,3,AURA,ban,1,Wanwan
S10R010,3,AURA,ban,2,Akai
S10R010,3,AURA,ban,3,Franco
S10R010,3,AURA,ban,4,Atlas
S10R010,3,AURA,ban,5,Lolita
S10R011,1,GEEK,pick,1,Esmeralda
S10R011,1,GEEK,pick,2,Julian
S10R011,1,GEEK,pick,3,Lylia
S10R011,1,GEEK,pick,4,Wanwan
S10R011,1,GEEK,pick,5,Lolita
S10R011,1,GEEK,ban,1,Faramis
S10R011,1,GEEK,ban,2,Akai
S10R011,1,GEEK,ban,3,Yve
S10R011,1,GEEK,ban,4,Dyrroth
S10R011,1,GEEK,ban,5,Thamuz
S10R011,1,EVOS,pick,1,Uranus
S10R011,1,EVOS,pick,2,Ling
S10R011,1,EVOS,pick,3,Lunox
S10R011,1,EVOS,pick,4,Beatrix
S10R011,1,EVOS,pick,5,Franco
S10R011,1,EVOS,ban,1,Natalia
S10R011,1,EVOS,ban,2,Valentina
S10R011,1,EVOS,ban,3,Fanny
S10R011,1,EVOS,ban,4,Atlas
S10R011,1,EVOS,ban,5,Grock
S10R011,2,GEEK,pick,1,Thamuz
S10R011,2,GEEK,pick,2,Ling
S10R011,2,GEEK,pick,3,Lylia
S10R011,2,GEEK,pick,4,Beatrix
S10R011,2,GEEK,pick,5,Franco
S10R011,2,GEEK,ban,1,Valentina
S10R011,2,GEEK,ban,2,Faramis
S10R011,2,GEEK,ban,3,Akai
S10R011,2,GEEK,ban,4,Hayabusa
S10R011,2,GEEK,ban,5,Julian
S10R011,2,EVOS,pick,1,Esmeralda
S10R011,2,EVOS,pick,2,Karina
S10R011,2,EVOS,pick,3,Chou
S10R011,2,EVOS,pick,4,Wanwan
S10R011,2,EVOS,pick,5,Hilda
S10R011,2,EVOS,ban,1,Natalia
S10R011,2,EVOS,ban,2,Yve
S10R011,2,EVOS,ban,3,Fanny
S10R011,2,EVOS,ban,4,Dyrroth
S10R011,2,EVOS,ban,5,Uranus
S10R012,1,ONIC,pick,1,Esmeralda
S10R012,1,ONIC,pick,2,Akai
S10R012,1,ONIC,pick,3,Valentina
S10R012,1,ONIC,pick,4,Melissa
S10R012,1,ONIC,pick,5,Mathilda
S10R012,1,ONIC,ban,1,Franco
S10R012,1,ONIC,ban,2,Beatrix
S10R012,1,ONIC,ban,3,Claude
S10R012,1,ONIC,ban,4,Brody
S10R012,1,ONIC,ban,5,Karrie
S10R012,1,RRQ,pick,1,Paquito
S10R012,1,RRQ,pick,2,Ling
S10R012,1,RRQ,pick,3,Faramis
S10R012,1,RRQ,pick,4,Popol and Kupa
S10R012,1,RRQ,pick,5,Angela
S10R012,1,RRQ,ban,1,Fanny
S10R012,1,RRQ,ban,2,Natalia
S10R012,1,RRQ,ban,3,Wanwan
S10R012,1,RRQ,ban,4,Hilda
S10R012,1,RRQ,ban,5,Balmond
S10R012,2,ONIC,pick,1,Paquito
S10R012,2,ONIC,pick,2,Akai
