season,kode,pemain_id,grup,role,negara,catatan,nama_periode,juara
12,AURA,Kimura,Subs,EXP,Indonesia,,AURA Fire,False
12,AURA,Facehugger,Subs,Mid,Indonesia,,AURA Fire,False
12,AURA,SamoHt,Subs,Roam,Indonesia,,AURA Fire,False
12,AURA,Pahlevi,Staff,,Indonesia,Coach,AURA Fire,False
12,AURA,SaintDeLucaz,Staff,,Indonesia,Coach,AURA Fire,False
12,BTR,Xorizo,Main,EXP,Indonesia,,Bigetron Alpha,False
12,BTR,Super_Kenn,Main,Jungle,Indonesia,,Bigetron Alpha,False
12,BTR,Moreno,Main,Mid,Indonesia,,Bigetron Alpha,False
12,BTR,Xyve,Main,Gold,Indonesia,,Bigetron Alpha,False
12,BTR,Kyy,Main,Roam,Indonesia,,Bigetron Alpha,False
12,BTR,Narashi,Subs,EXP,Indonesia,,Bigetron Alpha,False
12,BTR,VYN,Subs,Roam,Indonesia,,Bigetron Alpha,False
12,BTR,Saken,Former,Gold,Indonesia,Left,Bigetron Alpha,False
12,BTR,Aldo,Staff,,Indonesia,Head Coach,Bigetron Alpha,False
12,BTR,Razeboy,Staff,,Indonesia,Analyst,Bigetron Alpha,False
12,BTR,Falah,Staff,,Indonesia,Coach,Bigetron Alpha,False
12,DEWA,Dyx0n,Main,EXP,Indonesia,,Dewa United Esports,False
12,DEWA,Lanaya,Main,Jungle,Indonesia,,Dewa United Esports,False
12,DEWA,Keyz,Main,Mid,Indonesia,,Dewa United Esports,False
12,DEWA,Watt,Main,Gold,Indonesia,,Dewa United Esports,False
12,DEWA,Shacco,Main,Roam,Indonesia,,Dewa United Esports,False
12,DEWA,Pendragon,Subs,EXP,Indonesia,,Dewa United Esports,False
12,DEWA,Reyy,Subs,Jungle,Indonesia,,Dewa United Esports,False
12,DEWA,Leomurphy,Subs,Roam,Indonesia,,Dewa United Esports,False
12,DEWA,Jacklee,Staff,,Indonesia,Head Coach,Dewa United Esports,False
12,DEWA,Paddington,Staff,,Indonesia,Analyst,Dewa United Esports,False
12,EVOS,Vell,Main,EXP,Indonesia,,EVOS Legends,False
12,EVOS,Sutsujin,Main,Jungle,Indonesia,,EVOS Legends,False
12,EVOS,Cr1te,Main,Mid,Indonesia,,EVOS Legends,False
12,EVOS,Branz,Main,Gold,Indonesia,,EVOS Legends,False
12,EVOS,Ivann,Main,Roam,Indonesia,,EVOS Legends,False
12,EVOS,Fluffy,Subs,EXP,Indonesia,,EVOS Legends,False
12,EVOS,Tazz,Subs,Jungle,Indonesia,,EVOS Legends,False
12,EVOS,Erlan,Subs,Gold,Indonesia,,EVOS Legends,False
12,EVOS,Dlar,Former,EXP,Philippines,Left,EVOS Legends,False
12,EVOS,Hijumee,Former,Mid,Indonesia,Left,EVOS Legends,False
12,EVOS,Dreams,Former,Roam,Indonesia,Left,EVOS Legends,False
12,EVOS,Age,Staff,,Indonesia,Head Coach,EVOS Legends,False
12,EVOS,Caleb,Staff,,Indonesia,Assistant Coach,EVOS Legends,False
12,EVOS,TaxStump,Staff,,Indonesia,Analyst,EVOS Legends,False
12,GEEK,Luke,Main,EXP,Indonesia,,Geek Fam ID,False
12,GEEK,Nnael,Main,Jungle,Indonesia,,Geek Fam ID,False
12,GEEK,A_B_O_Y,Main,Mid,Indonesia,,Geek Fam ID,False
12,GEEK,Markyyyyy,Main,Gold,Philippines,,Geek Fam ID,False
12,GEEK,Baloyskie,Main,Roam,Philippines,,Geek Fam ID,False
12,GEEK,Caderaa,Subs,Gold,Indonesia,,Geek Fam ID,False
12,GEEK,Renz,Former,,Indonesia,Left,Geek Fam ID,False
12,GEEK,Erpang,Staff,,Indonesia,Coach,Geek Fam ID,False
12,ONIC,Butss,Main,EXP,Indonesia,,ONIC,True
12,ONIC,Kairi,Main,Jungle,Philippines,,ONIC,True
12,ONIC,S_A_N_Z,Main,Mid,Indonesia,,ONIC,True
12,ONIC,CW,Main,Gold,Indonesia,,ONIC,True
12,ONIC,Kiboy,Main,Roam,Indonesia,,ONIC,True
12,ONIC,Drian,Subs,Flex,Indonesia,,ONIC,True
12,ONIC,Alberttt,Subs,Flex,Indonesia,,ONIC,True
12,ONIC,Yeb,Staff,,Philippines,Head Coach,ONIC,False
12,ONIC,Adi,Staff,,Indonesia,Analyst,ONIC,False
12,RBL,Karss,Main,EXP,Indonesia,,Rebellion Zion,False
12,RBL,Vincentt,Main,Jungle,Indonesia,,Rebellion Zion,False
12,RBL,SwayLow,Main,Mid,Indonesia,,Rebellion Zion,False
12,RBL,Haiz,Main,Gold,Indonesia,,Rebellion Zion,False
12,RBL,AudyTzy,Main,Roam,Indonesia,,Rebellion Zion,False
12,RBL,Renbuu,Subs,Mid,Indonesia,,Rebellion Zion,False
12,RBL,Cikoo,Staff,,Indonesia,Head Coach,Rebellion Zion,False
12,RBL,Vivy,Staff,,Indonesia,Analyst,Rebellion Zion,False
12,RRQ,Banana,Main,EXP,Indonesia,,Rex Regum Qeon,False
12,RRQ,Ferxiic,Main,Jungle,Indonesia,,Rex Regum Qeon,False
12,RRQ,Clayyy,Main,Mid,Indonesia,,Rex Regum Qeon,False
12,RRQ,Skylar,Main,Gold,Indonesia,,Rex Regum Qeon,False
12,RRQ,Naomi,Main,Roam,Myanmar,,Rex Regum Qeon,False
12,RRQ,Dyrennn,Subs,EXP,Indonesia,,Rex Regum Qeon,False
12,RRQ,Lemon,Subs,Mid,Indonesia,,Rex Regum Qeon,False
12,RRQ,XINNN,Subs,Gold,Indonesia,DNP,Rex Regum Qeon,False
12,RRQ,Renbo,Former,Flex,Indonesia,Left,Rex Regum Qeon,False
12,RRQ,Sayargyi,Staff,,Myanmar,Head Coach,Rex Regum Qeon,False
12,RRQ,Rave,Staff,,Indonesia,Analyst,Rex Regum Qeon,False
13,AE,Pai,Main,EXP,Indonesia,,Alter Ego,False
13,AE,Tazz,Main,Jungle,Indonesia,,Alter Ego,False
13,AE,Cr1te,Main,Mid,Indonesia,,Alter Ego,False
13,AE,Nino,Main,Gold,Indonesia,,Alter Ego,False
13,AE,Rasy,Main,Roam,Indonesia,,Alter Ego,False
13,AE,Munsters,Subs,EXP,Indonesia,DNP,Alter Ego,False
13,AE,Celiboy,Subs,Mid,Indonesia,,Alter Ego,False
13,AE,Haiz,Subs,Gold,Indonesia,,Alter Ego,False
13,AE,Rekt,Subs,Roam,Indonesia,,Alter Ego,False
13,AE,RoundeL,Former,Mid,Indonesia,Left,Alter Ego,False
13,AE,Nafari,Staff,,Indonesia,Head Coach,Alter Ego,False
13,AE,Arss,Staff,,Indonesia,Assistant Coach,Alter Ego,False
13,AE,Aldo,Staff,,Indonesia,Analyst,Alter Ego,False
13,AURA,Aran,Main,EXP,Indonesia,,Liquid Aura,False
13,AURA,Gugun,Main,Jungle,Indonesia,,Liquid Aura,False
13,AURA,Yehezkiel,Main,Mid,Indonesia,,Liquid Aura,False
13,AURA,Kabuki,Main,Gold,Indonesia,,Liquid Aura,False
13,AURA,Yawi,Main,Roam,Philippines,,Liquid Aura,False
13,AURA,High,Subs,Jungle,Indonesia,DNP,Liquid Aura,False
13,AURA,SaintDeLucaz,Staff,,Indonesia,Head Coach,Liquid Aura,False
13,AURA,Pahlevi,Staff,,Indonesia,Assistant Coach,Liquid Aura,False
13,AURA,Facehugger,Staff,,Indonesia,Analyst,Liquid Aura,False
13,BTR,Xorizo,Main,EXP,Indonesia,,Bigetron Alpha,False
13,BTR,Super_Kenn,Main,Jungle,Indonesia,,Bigetron Alpha,False
13,BTR,Moreno,Main,Mid,Indonesia,,Bigetron Alpha,False
13,BTR,EMANN,Main,Gold,Philippines,,Bigetron Alpha,False
13,BTR,Kyy,Main,Roam,Indonesia,,Bigetron Alpha,False
13,BTR,JM,Subs,EXP,Philippines,,Bigetron Alpha,False
13,BTR,VYN,Former,Roam,Indonesia,Left,Bigetron Alpha,False
13,BTR,Falah,Former,,Indonesia,Left,Bigetron Alpha,False
13,BTR,Khezcute,Staff,,Indonesia,Head Coach,Bigetron Alpha,False
13,BTR,Razeboy,Staff,,Indonesia,Assistant Coach,Bigetron Alpha,False
13,BTR,NMM,Staff,,Indonesia,Analyst,Bigetron Alpha,False
13,DEWA,Dyx0n,Main,EXP,Indonesia,,Dewa United Esports,False
13,DEWA,Just_Garrr,Main,Jungle,Indonesia,,Dewa United Esports,False
13,DEWA,Keyz,Main,Mid,Indonesia,,Dewa United Esports,False
13,DEWA,Watt,Main,Gold,Indonesia,,Dewa United Esports,False
13,DEWA,Drian,Main,Roam,Indonesia,,Dewa United Esports,False
13,DEWA,Kimura,Subs,EXP,Indonesia,,Dewa United Esports,False
13,DEWA,Lanaya,Subs,Jungle,Indonesia,,Dewa United Esports,False
13,DEWA,Shacco,Subs,Roam,Indonesia,DNP,Dewa United Esports,False
13,DEWA,Caesius,Staff,,Indonesia,Coach,Dewa United Esports,False
13,DEWA,Jacklee,Staff,,Indonesia,Analyst,Dewa United Esports,False
13,EVOS,Fluffy,Main,EXP,Indonesia,,EVOS Glory,False
13,EVOS,Anavel,Main,Jungle,Indonesia,,EVOS Glory,False
13,EVOS,Claw_Kun,Main,Mid,Indonesia,,EVOS Glory,False
13,EVOS,Branz,Main,Gold,Indonesia,,EVOS Glory,False
13,EVOS,Dreams,Main,Roam,Indonesia,,EVOS Glory,False
13,EVOS,VAN,Subs,Jungle,Indonesia,,EVOS Glory,False
13,EVOS,Natco,Subs,Gold,Indonesia,,EVOS Glory,False
13,EVOS,Super_Red,Subs,Gold,Philippines,,EVOS Glory,False
13,EVOS,Panser,Subs,Roam,Indonesia,DNP,EVOS Glory,False
13,EVOS,Vell,Former,EXP,Indonesia,Left,EVOS Glory,False
13,EVOS,Warlord,Former,Mid,Indonesia,Left,EVOS Glory,False
13,EVOS,Alditto,Former,Gold,Indonesia,Left,EVOS Glory,False
13,EVOS,Ivann,Former,Roam,Indonesia,Left,EVOS Glory,False
13,EVOS,G,Staff,,Indonesia,Head Coach,EVOS Glory,False
13,EVOS,Caleb,Staff,,Indonesia,Assistant Coach,EVOS Glory,False
13,EVOS,Age,Staff,,Indonesia,Assistant Coach,EVOS Glory,False
13,EVOS,Theo,Staff,,Philippines,Analyst,EVOS Glory,False
13,GEEK,Luke,Main,EXP,Indonesia,,Geek Fam ID,False
13,GEEK,Reyy,Main,Jungle,Indonesia,,Geek Fam ID,False
13,GEEK,A_B_O_Y,Main,Mid,Indonesia,,Geek Fam ID,False
13,GEEK,Caderaa,Main,Gold,Indonesia,,Geek Fam ID,False
13,GEEK,Baloyskie,Main,Roam,Philippines,,Geek Fam ID,False
13,GEEK,Hazle,Subs,Jungle,Indonesia,,Geek Fam ID,False
13,GEEK,Markyyyyy,Subs,Gold,Philippines,,Geek Fam ID,False
13,GEEK,Bluffzy,Staff,,Philippines,Head Coach,Geek Fam ID,False
13,GEEK,Wuraaaah,Staff,,Philippines,Assistant Coach,Geek Fam ID,False
13,ONIC,Lutpiii,Main,EXP,Indonesia,,Fnatic ONIC,True
13,ONIC,Kairi,Main,Jungle,Philippines,,Fnatic ONIC,True
13,ONIC,S_A_N_Z,Main,Mid,Indonesia,,Fnatic ONIC,True
13,ONIC,CW,Main,Gold,Indonesia,,Fnatic ONIC,True
13,ONIC,Kiboy,Main,Roam,Indonesia,,Fnatic ONIC,True
13,ONIC,Butss,Subs,EXP,Indonesia,,Fnatic ONIC,True
13,ONIC,Alberttt,Subs,Gold,Indonesia,,Fnatic ONIC,True
13,ONIC,Yeb,Staff,,Philippines,Head Coach,Fnatic ONIC,False
13,ONIC,Adi,Staff,,Indonesia,Coach,Fnatic ONIC,False
13,RBL,Karss,Main,EXP,Indonesia,,Rebellion Esports,False
13,RBL,Vincentt,Main,Jungle,Indonesia,,Rebellion Esports,False
13,RBL,SwayLow,Main,Mid,Indonesia,,Rebellion Esports,False
13,RBL,Deee,Main,Gold,Indonesia,,Rebellion Esports,False
13,RBL,AudyTzy,Main,Roam,Indonesia,,Rebellion Esports,False
13,RBL,Moai,Subs,Gold,Indonesia,,Rebellion Esports,False
13,RBL,Cikoo,Staff,,Indonesia,Coach,Rebellion Esports,False
13,RBL,Vivy,Staff,,Indonesia,Analyst,Rebellion Esports,False
13,RRQ,Donn,Main,EXP,Indonesia,,RRQ Hoshi,False
13,RRQ,Irrad,Main,Jungle,Philippines,,RRQ Hoshi,False
13,RRQ,Clayyy,Main,Mid,Indonesia,,RRQ Hoshi,False
13,RRQ,Skylar,Main,Gold,Indonesia,,RRQ Hoshi,False
13,RRQ,VYN,Main,Roam,Indonesia,,RRQ Hoshi,False
13,RRQ,Banana,Subs,EXP,Indonesia,,RRQ Hoshi,False
13,RRQ,Ferxiic,Subs,Jungle,Indonesia,,RRQ Hoshi,False
13,RRQ,Lemon,Subs,Mid,Indonesia,,RRQ Hoshi,False
13,RRQ,Bunnyqt,Subs,Gold,Indonesia,,RRQ Hoshi,False
13,RRQ,Brusko,Subs,Roam,Philippines,,RRQ Hoshi,False
13,RRQ,Octa,Former,Mid,Indonesia,Left,RRQ Hoshi,False
13,RRQ,Vren,Staff,,Philippines,Head Coach,RRQ Hoshi,False
13,RRQ,Sayargyi,Staff,,Myanmar,Assistant Coach,RRQ Hoshi,False
14,AE,Nino,Main,EXP,Indonesia,,Alter Ego,False
14,AE,Nnael,Main,Jungle,Indonesia,,Alter Ego,False
14,AE,RoundeL,Main,Mid,Indonesia,,Alter Ego,False
14,AE,Haiz,Main,Gold,Indonesia,,Alter Ego,False
14,AE,Alekk,Main,Roam,Indonesia,,Alter Ego,False
14,AE,Gebe,Subs,Jungle,Indonesia,DNP,Alter Ego,False
14,AE,Rekt,Staff,,Indonesia,Head Coach,Alter Ego,False
14,AE,Aldo,Staff,,Indonesia,Coach,Alter Ego,False
14,AE,Styx,Staff,,Indonesia,Analyst,Alter Ego,False
14,BTR,Luke,Main,EXP,Indonesia,,Bigetron Alpha,False
14,BTR,Super_Kenn,Main,Jungle,Indonesia,,Bigetron Alpha,False
14,BTR,Moreno,Main,Mid,Indonesia,,Bigetron Alpha,False
14,BTR,EMANN,Main,Gold,Philippines,,Bigetron Alpha,False
14,BTR,Kyy,Main,Roam,Indonesia,,Bigetron Alpha,False
14,BTR,Finn,Subs,Roam,Indonesia,,Bigetron Alpha,False
